annee,City,State,Region,CA,part_pct,prog,Marge,prog_marge,marge_pct,diff_mag,prog_mag
2014,Florence,Alabama,South,1979.89,0.95,,240.6,,12.15,,
2014,Decatur,Alabama,South,1918.77,0.92,,558.7,,29.12,,
2014,Montgomery,Alabama,South,2231.47,1.07,,448.65,,20.11,,
2014,,Alabama,South,6139.09,2.96,,1250.73,,20.37,,
2014,Mobile,Alabama,South,8.96,0.0,,2.78,,31.03,,
2015,Huntsville,Alabama,South,19.56,0.01,,5.48,,28.02,,
2015,Mobile,Alabama,South,1918.79,1.34,21315.07,506.98,18136.69,26.42,0,0.0
2015,Montgomery,Alabama,South,478.4,0.34,-78.56,96.79,-78.43,20.23,0,0.0
2015,,Alabama,South,3891.97,2.73,-36.6,1199.79,-4.07,30.83,1,25.0
2015,Decatur,Alabama,South,976.29,0.68,-49.12,346.28,-38.02,35.47,0,0.0
2015,Auburn,Alabama,South,498.93,0.35,,244.25,,48.95,,
2016,Auburn,Alabama,South,1264.14,0.68,153.37,207.26,-15.14,16.4,0,0.0
2016,Florence,Alabama,South,4.98,0.0,-99.75,2.44,-98.99,49.0,0,0.0
2016,Montgomery,Alabama,South,1002.7,0.54,109.59,285.76,195.24,28.5,0,0.0
2016,Decatur,Alabama,South,224.9,0.12,-76.96,64.24,-81.45,28.56,0,0.0
2016,,Alabama,South,7651.33,4.09,96.59,2839.93,136.7,37.12,1,20.0
2016,Mobile,Alabama,South,3535.24,1.89,84.24,1666.07,228.63,47.13,0,0.0
2016,Huntsville,Alabama,South,1619.37,0.86,8178.99,614.16,11107.3,37.93,0,0.0
2017,Florence,Alabama,South,12.48,0.01,150.6,5.62,130.33,45.03,0,0.0
2017,Decatur,Alabama,South,254.86,0.1,13.32,30.86,-51.96,12.11,0,0.0
2017,Auburn,Alabama,South,3.76,0.0,-99.7,1.09,-99.47,28.99,0,0.0
2017,Tuscaloosa,Alabama,South,175.7,0.07,,51.01,,29.03,,
