annee,State,Region,rank_ca,CA,part_pct,prog,Marge,prog_marge,marge_pct,diff_mag,prog_mag
2014,Alabama,South,6,6139.09,5.91,,1250.73,,20.37,,
2015,Alabama,South,8,3891.97,5.45,-36.6,1199.79,-4.07,30.83,1,25.0
2016,Alabama,South,5,7651.33,8.17,96.59,2839.93,136.7,37.12,1,20.0
2017,Alabama,South,10,1828.25,1.49,-76.11,496.38,-82.52,27.15,1,16.67
2014,Arizona,West,3,8295.24,5.61,,-903.2,,-10.89,,
2015,Arizona,West,3,9611.21,6.87,15.86,236.38,-126.17,2.46,1,11.11
2016,Arizona,West,5,6242.02,3.33,-35.05,-1485.11,-728.27,-23.79,-2,-20.0
2017,Arizona,West,3,11133.54,4.45,78.36,-1276.0,-14.08,-11.46,2,25.0
2014,Arkansas,South,5,6302.69,6.07,,2031.69,,32.24,,
2015,Arkansas,South,10,443.61,0.62,-92.96,103.01,-94.93,23.22,-1,-25.0
2016,Arkansas,South,9,2224.19,2.38,401.38,914.59,787.87,41.12,1,33.33
2017,Arkansas,South,9,2707.64,2.2,21.74,959.4,4.9,35.43,3,75.0
2014,California,West,1,91303.53,61.74,,12637.95,,13.84,,
2015,California,West,1,88443.84,63.19,-3.13,14371.26,13.72,16.25,4,12.12
2016,California,West,1,131551.91,70.17,48.74,20005.72,39.21,15.21,10,27.03
2017,California,West,1,146388.34,58.53,11.28,29366.46,46.79,20.06,9,19.15
2014,Colorado,West,4,6502.29,4.4,,438.19,,6.74,,
2015,Colorado,West,4,4639.27,3.31,-28.65,-1141.07,-360.41,-24.6,0,0.0
2016,Colorado,West,3,10666.74,5.69,129.92,-1389.13,21.74,-13.02,6,100.0
2017,Colorado,West,4,10299.81,4.12,-3.44,-4435.85,219.33,-43.07,-3,-25.0
2014,Connecticut,East,8,2794.02,2.17,,745.33,,26.68,,
2015,Connecticut,East,11,1284.64,0.82,-54.02,427.15,-42.69,33.25,2,50.0
2016,Connecticut,East,7,3998.49,2.21,211.25,859.25,101.16,21.49,1,16.67
2017,Connecticut,East,8,5307.21,2.49,32.73,1479.76,72.22,27.88,1,14.29
2014,Delaware,East,6,4786.03,3.72,,1338.59,,27.97,,
2015,Delaware,East,6,6190.34,3.96,29.34,1608.87,20.19,25.99,0,0.0
